Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454790863.537895,7.648126,14.495078,3.457845,2.930613,3.336615,6.025718,9.874331,3.629569,4.007795,3.665267,0.997128,0.433688,1.064805,1.232301,2.332745,0.744269,0.274848,0.063164,0.039421,0.027015,125.993747,0.620419,1.818939,1.239013,0.225965
1454790864.037967,12.642566,21.574746,6.157660,4.901180,3.402784,8.952386,16.284186,5.170128,4.180092,3.503659,0.839930,1.187876,1.785078,1.468627,2.107256,11.241757,7.124351,0.227444,0.396622,0.196065,139.896891,4.523592,2.622577,2.424470,0.362461
1454790864.537994,144.619582,31.000348,8.272347,6.183412,4.106852,98.045012,21.611788,7.580236,6.888702,4.077338,1.896187,1.146531,1.601223,1.489171,1.825028,26.551843,21.453159,2.907396,3.049774,1.330462,178.024559,58.743951,43.347637,12.180072,1.695813
1454790865.037969,201.391893,14.329835,7.691388,3.206616,2.501375,167.799210,17.598598,9.823187,5.647320,2.618928,2.810912,0.712488,0.994063,2.235751,1.972736,114.230437,73.289709,57.343832,30.338572,5.156477,522.284967,765.681383,753.835388,217.869756,30.683907
1454790865.537973,280.827407,12.268065,8.213443,4.775836,6.224721,360.213565,17.373454,11.925968,9.439726,6.846126,7.937541,2.052855,1.907349,2.016119,2.147819,873.443723,180.830141,86.932087,51.602171,15.122752,2997.015324,1206.307080,1110.349152,385.259154,162.769957
1454790866.037612,413.118404,32.526367,6.830694,12.613707,12.786715,400.085215,37.362649,9.381788,14.312128,15.453382,11.922666,2.848746,4.134239,2.428239,2.881727,954.736366,159.864985,36.192238,35.509454,21.786444,3658.035115,457.628046,523.616096,177.346048,190.395832
1454790866.537966,241.432897,56.491950,11.774856,12.957419,8.880270,125.018860,43.345864,6.714630,11.041884,9.664629,7.903047,1.931520,2.567448,2.597621,2.898747,124.170555,27.227717,17.194633,12.292694,5.856501,599.968382,299.742605,249.199315,27.378671,20.598890
1454790867.037443,566.913616,48.945995,22.906051,9.638916,5.884208,228.683613,29.407561,12.764222,8.038420,5.904957,3.340218,1.590985,1.654859,2.619407,2.665348,15.541819,4.217249,3.615503,2.950630,1.900750,161.559898,43.336605,36.079571,2.541283,0.434000
1454790867.635400,528.382417,64.464077,35.214694,10.654738,6.240474,200.792923,40.573621,21.835088,10.043251,5.408167,1.665029,2.009786,1.659596,1.507478,2.088288,6.947309,4.944493,6.880250,2.777738,2.031662,186.838657,13.715170,7.660894,3.337430,0.323274
1454790868.130393,58.713517,20.177247,7.668867,5.750243,5.185489,26.393124,17.561893,5.882205,6.318258,5.211807,2.861311,1.277572,1.216709,1.173092,2.150048,4.782459,8.223792,7.183184,2.810011,2.482253,161.646028,8.587094,5.794434,3.236557,0.329056
1454790868.600790,237.735779,22.633330,10.131084,6.242355,4.984019,119.311425,15.197275,9.477475,5.489691,4.296169,3.520598,2.051353,2.571754,1.206197,2.080164,40.225277,6.620384,13.097252,6.554920,3.180617,104.047148,26.537397,50.871688,8.845722,0.817513
1454790869.091045,148.189462,15.517200,9.928611,7.016820,5.351963,83.138616,10.624925,9.478562,6.203285,3.509739,4.373315,2.883969,3.789340,1.991708,2.961386,53.484425,7.432834,18.189779,5.641648,2.841616,130.597599,71.231155,135.999412,19.284521,1.228797
1454790869.541370,10.801386,2.140575,3.772303,2.864683,1.527659,11.472174,1.901015,3.339164,2.330277,0.928534,1.932888,1.847478,1.777331,1.839477,2.294346,13.174970,6.329408,5.732711,1.530546,0.777214,151.505811,16.400194,40.952516,6.497646,0.363149
1454790870.121316,3.517639,2.183878,4.624318,2.281625,0.984856,3.636330,1.937059,2.659804,1.653772,0.784150,1.231537,0.708474,0.875632,1.402705,2.008899,3.856415,3.651968,2.666617,0.992472,0.446540,132.541245,0.977075,6.310865,1.360849,0.265180
1454790870.580594,7.059319,5.024520,4.983871,1.307832,0.719303,6.955824,3.945801,4.686657,1.167506,0.905974,0.509997,0.378646,0.949406,1.312913,2.542239,1.296766,1.352614,3.464989,1.152253,0.556394,126.210869,0.599662,1.508511,0.444562,0.209126
1454790871.061433,8.351814,6.920523,3.731401,1.209362,0.931794,9.101720,5.577895,4.318596,1.422052,1.037066,0.488727,0.454198,0.689756,1.409097,2.737330,1.856747,2.711089,3.186186,1.019320,0.697783,133.715304,0.556029,1.770644,0.616045,0.180312
1454790871.622630,3.079514,2.995438,2.411411,1.186305,1.073831,3.369192,3.561649,2.942649,1.462927,0.904150,0.535252,0.903061,1.317055,1.552424,2.443789,6.124927,3.884795,3.932580,1.419666,0.683008,128.446416,2.090665,4.188079,1.611366,0.237245
1454790872.131220,2.249501,2.752535,0.834362,0.765147,0.919286,3.239036,3.522381,1.272965,1.077482,0.803459,0.704886,0.738360,1.809244,1.843807,2.272526,6.526736,3.536382,2.789725,1.660931,0.525055,124.006687,2.196150,5.018239,1.704038,0.309983
1454790872.632606,4.137778,1.739221,1.429886,1.019636,1.056684,5.076728,2.525485,1.473084,1.258698,1.315095,1.123889,0.426245,0.592330,1.219423,1.940265,2.172370,1.313464,1.043052,0.506102,0.610133,116.136284,0.688417,2.814389,1.548875,0.232966
1454790873.041318,2.909936,1.397296,1.857449,1.382938,1.124332,3.647753,2.164403,1.963034,1.244081,1.627152,0.804378,0.737078,1.046607,1.019917,1.592986,1.367549,0.932127,0.961826,0.404795,0.563458,128.719801,0.193727,0.961631,0.935890,0.156329
1454790873.542893,3.770311,1.110169,0.595945,1.546051,1.080479,3.864892,1.398294,0.677944,1.372503,1.271379,0.801599,1.347057,1.519116,1.597032,2.586433,1.557506,1.375272,0.669732,0.484397,0.611595,133.127407,0.329439,0.717138,0.650121,0.194418
1454790874.041409,14.920266,4.797537,1.386559,1.905528,0.829816,14.815396,5.236566,2.639104,2.168390,0.984900,0.982097,0.694587,1.217383,1.581141,2.153843,1.847284,3.281943,1.195878,0.888469,0.664610,130.688138,0.528714,0.941257,0.766007,0.203285
1454790874.541127,22.263424,8.132164,4.008199,4.785186,0.950162,19.364351,8.787264,4.411888,4.262116,0.997321,0.684959,0.300007,0.993066,1.299223,1.701242,6.078158,5.668789,3.228759,1.059580,0.621350,137.400040,12.389907,10.378805,1.757583,0.270117
1454790875.050991,7.635293,11.074732,13.198386,26.011631,3.259628,10.216378,11.423076,14.914155,23.289096,4.047184,2.292188,0.132197,1.063170,1.649056,2.344798,32.449740,18.560508,17.159376,11.886250,7.373044,307.977380,56.035003,40.654222,30.983589,19.861070
1454790875.540478,41.515591,13.593519,15.342612,16.136750,3.829689,37.769485,16.150652,19.188054,15.684102,5.462474,5.286168,1.184662,1.308993,1.145019,2.456158,59.105252,42.226669,36.990152,24.100800,15.577458,433.300883,91.047801,57.795563,73.087664,47.464415
1454790876.091492,121.297053,13.631889,31.370593,4.572975,3.127470,90.785466,15.608610,36.124062,4.762857,3.701380,14.741059,3.064981,2.871936,2.625365,2.791402,53.479252,69.061154,29.361396,11.405057,7.362935,285.388588,38.660892,65.189251,39.277138,8.956853
1454790876.622092,58.941832,13.343834,42.041866,5.720881,3.800800,47.391979,18.076164,45.269687,5.987949,3.762163,5.702582,2.075443,2.618491,2.740795,2.785748,30.103006,62.044515,37.137430,9.261777,4.356410,392.503323,500.537092,115.895878,28.939366,2.641022
1454790877.131431,40.825866,29.828814,15.428741,4.319318,2.894712,31.790009,30.829823,15.288338,4.110826,3.306928,2.251589,0.702661,1.367584,1.455008,2.338392,74.332393,143.967477,58.292861,10.795889,3.031966,720.865364,1653.493945,974.989915,162.701486,29.675389
1454790877.541313,38.404057,28.639352,12.028654,2.694396,1.514359,39.015715,28.350218,11.383141,2.571105,1.950233,2.862666,1.937364,1.807543,0.938937,1.597669,124.335821,185.914689,75.103665,16.605333,3.403314,774.115375,1406.674820,1214.045720,239.569048,50.127272
1454790878.557612,38.404057,28.639352,12.028654,2.694396,1.514359,39.015715,28.350218,11.383141,2.571105,1.950233,2.862666,1.937364,1.807543,0.938937,1.597669,124.335821,185.914689,75.103665,16.605333,3.403314,774.115375,1406.674820,1214.045720,239.569048,50.127272
1454790879.064243,38.404057,28.639352,12.028654,2.694396,1.514359,39.015715,28.350218,11.383141,2.571105,1.950233,2.862666,1.937364,1.807543,0.938937,1.597669,124.335821,185.914689,75.103665,16.605333,3.403314,774.115375,1406.674820,1214.045720,239.569048,50.127272
1454790879.959486,389.985387,26.706717,16.694899,11.453865,2.619261,189.907205,23.646654,16.814372,14.887035,2.974631,4.875205,4.957042,2.704159,1.765303,2.352048,48.225555,42.722001,57.709887,25.511763,9.580603,408.049837,677.776060,414.219040,186.916469,87.080649
