Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454274969.719672,262205.407678,42932.021846,81809.199010,15929.994534,3666.835416,211669.042203,42093.204484,87743.451855,21176.932340,4235.109189,178113.868910,71851.865181,58335.300715,22173.787503,5173.037080,171893.594356,36323.181122,71056.674858,18709.089521,4013.765838,87654.784640,47672.894889,39378.736248,29319.125536,3507.218964
1454274970.219655,225721.539047,42026.225080,84551.946261,12089.676893,2924.641210,238968.689402,41554.500780,87552.632855,13475.823213,3094.967030,205336.079137,55636.949909,67381.356772,11277.560297,2722.166613,225931.295942,43493.944310,79231.860002,12821.704931,2802.410926,113153.555826,76401.375281,49514.154949,26305.119521,4427.681071
1454274970.719681,38289.404530,36715.374139,28723.251186,11590.398216,2583.013966,37467.968779,36596.694172,28976.564199,11682.948461,2593.501952,43351.620889,49716.877442,19502.216931,6217.704947,2661.326601,37230.317192,36617.633677,26684.966320,11118.809965,2507.040977,128278.900465,33237.635499,20630.037545,10536.199026,3507.765704
1454274971.219659,57076.982951,80576.862819,23131.739042,28371.791190,7033.370828,56918.784729,81553.194026,23357.948933,28291.809213,7018.885967,82093.306038,106192.674143,19952.157766,20503.167008,7063.542568,58718.165728,79267.093357,22532.282496,27898.886571,7211.747853,192627.317247,66427.151577,38085.938092,16156.889002,4546.635150
1454274971.719674,25099.685590,19774.174451,3067.223586,6244.855959,1754.139733,25066.416241,19931.945174,3086.602527,6241.588480,1750.731091,30836.965855,23128.970100,3478.104677,5424.158676,1531.817525,25491.246923,19496.298146,3071.516189,6199.898123,1781.017716,126252.865006,69759.945203,29857.389236,15004.764735,3178.688464
1454274972.219683,4785.812720,4820.660451,4250.611354,2983.653440,1488.915935,4426.320832,4471.797993,3965.599382,2826.009710,1477.226152,4549.283216,4593.571240,4066.229285,2882.156636,1482.197005,4522.111570,4563.759184,4039.330165,2863.082802,1470.774476,118909.773313,37633.123196,29121.403841,21696.019073,4140.992534
1454274972.719655,8214.049632,8369.448361,7417.908314,5253.272951,2637.083917,7589.741808,7760.602166,6919.932536,4977.216514,2617.585695,7790.689171,7961.146633,7085.537993,5068.570671,2622.391269,7758.540618,7925.804884,7052.913905,5045.660990,2607.160826,144592.189133,44093.715485,31457.082436,21723.709252,6001.338849
1454274973.219658,738.775793,746.542928,659.219512,468.445528,238.202421,679.317971,692.936922,618.199940,444.877038,236.652384,697.833876,708.057804,631.017496,452.006539,236.721903,696.654367,707.628981,631.418971,451.583691,235.934757,46005.665987,23842.187996,8901.817278,12425.268842,2491.693232
1454274973.719683,833.712168,1450.168027,771.057581,91.179642,16.989087,671.675418,360.269584,96.227017,55.812434,11.882173,59.912043,11.190550,12.032199,3.212244,3.809706,122.699567,20.369730,7.656409,3.674231,3.126057,10785.280892,9979.738338,2800.774411,2649.037974,576.296356
1454274974.218694,4330.467773,4268.212611,2039.200585,359.292520,70.973992,11252.700882,6106.220820,1661.279828,420.445434,80.638868,470.371114,67.918736,44.326286,35.820235,21.426465,1016.581132,222.776708,62.713735,57.570886,33.555331,52272.120381,39830.844306,7591.956690,5866.328715,2059.469303
