Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1454038682.329692,19.475649,15.474006,5.812417,3.169552,5.573102,13.843621,13.690161,7.690068,5.998727,7.261239,28.696493,5.911045,3.909090,1.072704,4.004508,23.367387,29.825805,16.342760,5.457827,5.905266,12.187504,12.208623,4.692213,2.410589,3.108443
1454038682.829046,3.462221,19.092797,13.732922,3.708702,5.075096,4.877309,8.018186,16.337934,5.964682,6.487491,7.704670,5.011390,3.836669,1.582043,2.236196,9.399349,23.146075,23.439072,6.264605,4.949726,1.784127,6.323182,7.232431,3.154683,2.122033
1454038683.329658,2.600429,14.210747,14.193717,3.595273,4.218835,3.904800,17.367119,19.253010,5.560177,6.200476,2.206668,4.175914,3.789079,2.073746,3.246594,5.312860,23.869017,17.129432,7.936774,5.173736,1.581093,9.423430,6.905630,3.519226,2.623102
1454038683.829692,15.594663,14.475835,9.594443,4.867565,3.788134,23.645948,21.557646,6.596198,6.362105,5.138817,8.867558,5.245687,3.940867,2.004750,2.618292,21.129733,18.893317,10.398376,5.844231,3.623614,11.925128,12.410734,6.557843,3.131488,2.707918
1454038684.329707,56.803132,22.082659,6.033376,7.689901,3.304184,64.000735,32.728168,3.757147,10.417729,6.795597,17.936693,6.291201,1.104007,1.716157,1.496871,54.741651,23.028007,8.475568,6.483633,3.272849,38.104965,15.981873,2.533038,4.755842,2.373695
1454038684.829684,19.830168,13.531579,6.125004,7.920741,2.944845,20.599586,17.885349,3.014327,9.363246,4.775036,5.242287,2.916578,0.870801,1.325677,0.899241,13.431086,16.135459,7.701809,7.418726,2.661857,11.575122,6.723032,1.948554,5.451271,2.061917
1454038685.329702,4.676959,7.089661,7.190834,6.333939,3.082139,16.387645,13.033179,2.280832,5.719985,4.153919,2.430934,1.238305,1.297051,0.786860,1.145785,2.189370,10.342494,4.611700,3.993691,3.284816,4.767240,4.871800,2.403007,3.871421,2.328624
1454038685.829692,11.393499,9.887016,7.106082,6.775600,5.784867,7.672215,22.119317,7.485486,2.156940,6.709807,1.434072,1.537565,1.272142,0.993306,1.929364,2.637691,11.301054,3.102105,5.407229,4.237754,2.590088,6.351043,1.921223,2.562697,2.855942
1454038686.329709,35.556357,11.057702,4.605414,3.252319,6.837433,17.535671,21.372246,10.164273,3.358386,7.025865,1.955049,2.426168,0.886377,1.004229,1.628340,4.799275,12.661024,4.029684,3.532881,5.646284,2.686043,4.728092,1.969794,1.912724,2.718991
1454038686.829692,64.060489,9.904685,2.370095,3.283306,5.006349,47.198057,8.730472,6.535101,5.781596,5.792795,1.110913,1.512272,0.886500,1.573898,1.469295,5.303659,5.982856,1.991387,3.056651,4.707551,1.620440,3.316908,1.875300,3.332840,2.257253
1454038687.329692,16.699395,4.958196,3.222753,3.313654,3.601165,17.320179,6.894681,6.349799,8.957458,7.125656,0.896724,1.626300,0.797023,1.912312,1.369617,5.874839,6.123636,5.392861,4.074736,4.143639,1.632880,2.973546,2.715017,4.788664,2.156442
1454038687.829711,8.726407,5.190523,5.985172,6.128310,3.317313,6.997077,8.114874,7.553743,5.248071,6.566402,1.555924,2.819483,0.804762,0.997833,1.398663,8.926807,11.298793,8.674350,3.208547,3.713572,3.609433,4.709890,3.536072,4.595151,1.747661
1454038688.329713,13.013889,7.823771,6.113069,7.628107,5.623358,6.759058,5.697383,5.012721,3.805282,6.038567,1.928068,2.291051,1.107653,1.357083,1.422458,8.335172,11.383818,5.433506,6.429602,4.479446,4.379439,4.124525,4.217430,6.054519,2.105977
